             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            35.2            0.622             3.94             2.98             3.43            0.426             1.69
               1            10.8            0.476             3.86             3.09                2                0            0.579
               2            3.45            0.051             3.95             3.94              3.1            0.413             1.44
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            12.5            0.721             3.98            0.327             2.42            0.312            0.909
               1          0.0287                1                4           0.0121                2                0            0.579
               2          0.0031                1                4          0.00257                2                0            0.579
               3        -0.00339                1                4          0.00998                2                0            0.579
               4         0.00427                1                4         0.000808                2                0            0.579
               5         0.00676                1                4         -0.00248                2                0            0.579
               6         0.00319                1                4          0.00059                2                0            0.579
               7        -0.00504                1                4          0.00848                2                0            0.579
               8         0.00123                1                4          0.00184                2                0            0.579
               9          0.0003                1                4           0.0025                2                0            0.579
              10         0.00345                1                4         -0.00158                2                0            0.579
              11        1.18e-06                1                4        -1.22e-06                2                0            0.579
              12       -4.59e-08                1                4        -8.64e-13                2                0            0.579
              13       -4.59e-08                1                4        -9.17e-18                2                0            0.579
              14       -4.59e-08                1                4         6.29e-23                2                0            0.579
              15       -4.59e-08                1                4        -3.21e-28                2                0            0.579
              16       -4.58e-08                1                4        -7.38e-11                2                0            0.579
              17          0.0011                1                4         0.000799                2                0            0.579
              18        0.000594                1                4        -0.000196                2                0            0.579
              19       -4.86e-08                1                4          2.7e-09                2                0            0.579
              20       -4.59e-08                1                4        -2.72e-14                2                0            0.579
              21       -4.59e-08                1                4          1.2e-19                2                0            0.579
              22       -4.59e-08                1                4        -1.46e-21                2                0            0.579
              23            2.53            0.951             4.01           -0.051                2                0            0.579
              24            2.61            0.773             3.97          -0.0194                2                0            0.579
              25       -8.47e-06                1                4         8.55e-06                2                0            0.579
              26       -4.59e-08                1                4          8.6e-12                2                0            0.579
              27       -4.59e-08                1                4        -3.52e-17                2                0            0.579
              28       -4.59e-08                1                4         9.82e-23                2                0            0.579
              29       -4.59e-08                1                4        -9.25e-29                2                0            0.579
              30       -4.59e-08                1                4        -1.07e-23                2                0            0.579
              31         0.00117                1                4        -0.000328                2                0            0.579
              32       -1.05e-05                1                4         1.05e-05                2                0            0.579
              33       -4.59e-08                1                4         4.45e-12                2                0            0.579
              34       -4.59e-08                1                4          2.7e-17                2                0            0.579
              35       -4.59e-08                1                4        -3.03e-15                2                0            0.579
              36          0.0017                1                4         -0.00157                2                0            0.579
              37        8.75e-08                1                4        -1.33e-07                2                0            0.579
              38       -0.000929                1                4         0.000961                2                0            0.579
              39           0.382            0.311             4.03         -0.00494             3.13            0.393             1.46
              40           0.331         0.000114             3.95          0.00745             3.14            0.379             1.47
