             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        2.23e+05          0.00021             3.61              -94             3.34            0.457             1.63
               1        6.34e+04         0.000168              3.6            -13.9             3.46            0.422             1.72
               2        1.84e+04          0.00012             3.61            -1.51             3.36             0.44             1.64
               3        4.98e+03         0.000122             3.61          0.00355             3.28            0.456             1.58
               4             712         6.05e-05             3.67          -0.0771             3.36            0.423             1.64
               5             114         0.000146             3.64           0.0961             3.42            0.424             1.69
               6            62.3         6.68e-05             3.67            0.132             3.41            0.421             1.68
               7            44.7         1.53e-05              3.7          -0.0582             3.43            0.419              1.7
               8            30.9          0.00011             3.61           0.0373              3.4            0.413             1.67
               9            23.7         0.000179             3.59          -0.0112             3.44            0.411             1.71
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan           0.0139                2              nan                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         0.000558                2              nan             3.58            0.328             1.64
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan           0.0045                2              nan             3.27            0.107             1.44
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan          1.7e-06                2              nan              3.4             0.66             1.48
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         0.000104                2              nan             3.26           0.0962             1.43
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         2.38e-05                2              nan             3.62            0.778             1.63
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         7.36e-05                2              nan             3.24            0.691             1.36
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         0.000507                2              nan             3.23            0.063             1.41
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         0.000105                2              nan             3.58            0.545             1.63
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         0.000353                2              nan             3.51            0.484             1.58
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         1.89e-06                2              nan             3.12            0.392              1.3
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         2.39e-05                2              nan             3.39            0.581             1.48
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         0.000189                2              nan             3.29             0.52             1.41
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         5.45e-05                2              nan             3.33            0.507             1.44
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan           0.0221                2              nan             3.26           0.0171             1.44
               1             nan         2.76e-07                2              nan             3.47            0.514             1.54
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         0.000107                2              nan             3.03            0.169             1.25
               1             nan         2.76e-07                2              nan             3.53            0.488             1.59
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         7.13e-07                2              nan             3.66            0.645             1.68
               1             nan         2.76e-07                2              nan             3.31             0.28             1.45
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         6.28e-05                2              nan             3.37            0.441             1.48
               1             nan         2.76e-07                2              nan             3.19            0.158             1.37
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan           0.0161                2              nan             3.81            0.683             1.78
               1             nan         2.76e-07                2              nan              3.5            0.484             1.57
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan          0.00066                2              nan             3.27          0.00627             1.44
               1             nan         2.76e-07                2              nan             3.35            0.687             1.44
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan          0.00141                2              nan             3.76            0.834             1.73
               1             nan         2.76e-07                2              nan             3.21            0.475             1.36
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             nan         5.04e-05                2              nan             3.07            0.222             1.28
               1             nan         2.76e-07                2              nan             3.31            0.241             1.45
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        7.29e+04         0.000524             3.47              270             3.67            0.185             1.69
               1         4.9e+03         1.23e-05             3.79             65.6             3.66            0.445             1.65
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        4.02e+06         0.000107             3.99           -2e+03             3.52            0.138              1.6
               1        3.37e+06         9.39e-05             4.16        -1.84e+03              3.4             0.19             1.51
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        2.85e+05           0.0177             3.69             -529             3.53            0.126             1.58
               1        4.22e+05         0.000999              3.9             -650             3.72            0.093             1.73
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0         2.2e+06         0.000928             4.02        -1.48e+03             3.33           0.0323             1.45
               1        1.85e+06         1.78e-05             3.92        -1.36e+03              3.8            0.238             1.77
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0         1.3e+05          0.00131             4.04             -361             3.41            0.116             1.51
               1        1.14e+05          0.00154             4.08             -335             3.49           0.0408             1.57
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        2.68e+04         3.56e-06             3.74              -18             3.72            0.112             1.73
               1        2.47e+05         0.000129             3.72              497             3.69            0.205             1.69
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
