             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        6.07e+05         0.000414             3.75             -511             3.27            0.394             1.43
               1        5.22e+05         2.17e-05             3.77             -485             3.44           0.0935             1.53
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        3.57e+04         0.000202             3.72             -188             3.19            0.461             1.39
               1        3.66e+04         7.42e-05             3.74             -187             3.52           0.0123             1.59
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        1.34e+04         3.29e-07             3.95             -115             3.17            0.156             1.34
               1         7.2e+03         2.98e-07             3.69            -76.9             3.36           0.0154             1.47
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0         6.5e+03         1.99e-05             3.82            -79.8             3.19            0.276             1.37
               1        2.73e+04          1.1e-05             3.98             -164             3.39            0.381             1.53
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        3.02e+03         0.000112             3.84             47.3             3.33           0.0777             1.44
               1        2.93e+03          0.00542             4.04             52.6             3.61           0.0312             1.66
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        1.46e+03         0.000924             3.54            -37.6             3.55             0.24             1.59
               1             692         6.28e-05             3.98            -23.6             3.45            0.775             1.47
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        3.87e+03         4.02e-06             4.19             11.5              3.4            0.112             1.51
               1        1.59e+04         0.000174             4.42            -44.4             3.17            0.146             1.32
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             687          0.00354             3.61             1.59                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0        2.41e+03          0.00215             3.55             39.7             3.48            0.439              1.7
               1             738         0.000696             3.54             6.29             3.44            0.436             1.67
               2             571         0.000145             3.56            0.635              3.3            0.436             1.56
               3             480          0.00046             3.64            0.194             3.32            0.448             1.58
               4             420          0.00138             3.69            0.206             3.26            0.484             1.54
               5             369         0.000819             3.68            0.305             3.16            0.465             1.46
               6             328          0.00049              3.6          -0.0324             3.17            0.483             1.46
               7             281         0.000218             3.58            0.259             3.14            0.464             1.44
               8             246         0.000327              3.6            0.274             3.23            0.479             1.51
               9             219         0.000351              3.6          -0.0577             3.24            0.548             1.52
              10             191         0.000313              3.6           0.0496             3.18            0.461             1.47
              11             172         0.000316              3.6           -0.257             3.21            0.478             1.49
              12             148         0.000519              3.6            0.282             3.17            0.459             1.46
              13             136         0.000622             3.61            0.119             3.16            0.453             1.45
              14             121         0.000461             3.61           0.0703             3.19            0.481             1.47
              15             109         0.000418             3.62           -0.103             3.22             0.48              1.5
              16              96         0.000359             3.65          -0.0542             3.21            0.469              1.5
              17            88.7         0.000447             3.66           0.0212             3.26            0.466             1.53
              18            78.9          0.00035              3.7           -0.116             3.22            0.494              1.5
              19            72.8         0.000239             3.72          -0.0661             3.29            0.475             1.55
