             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          -0.294           0.0265             6.28           0.0238             6.18             0.81             1.05
               1          -0.163           0.0318              6.3           0.0403             6.18            0.732             1.06
               2          -0.136            0.026              6.3           0.0473              6.4            0.765             1.13
               3          -0.155           0.0286             6.27           0.0252             6.07            0.753             1.02
               4           -0.11           0.0299             6.27           0.0239             6.11            0.759             1.03
               5          -0.263           0.0304             6.28           0.0436             6.29            0.785             1.09
               6         -0.0608           0.0328             6.24           0.0147             6.15            0.759             1.04
               7         -0.0609            0.036             6.24           0.0206             6.17            0.787             1.05
               8          0.0574           0.0344             6.19           0.0173             6.04            0.789             1.01
               9          0.0786            0.054             6.17           0.0125             6.19            0.713             1.06
              10          0.0338           0.0389              6.2          0.00928             6.15            0.793             1.04
              11          0.0873           0.0548             6.15           0.0103             6.07            0.769             1.02
              12          0.0407           0.0378             6.19           0.0119             6.11             0.79             1.03
              13          0.0592           0.0565             6.15          0.00488             6.13              0.9             1.03
              14          0.0348           0.0531             6.14          0.00596             6.04            0.762             1.01
              15           0.022            0.074             6.09          0.00282             5.92            0.791            0.968
              16         -0.0246           0.0735             6.11           0.0087             6.24            0.897             1.07
              17          0.0521           0.0808             6.12          0.00995             6.17            0.806             1.05
              18          0.0662           0.0711             6.06         -0.00217             6.01            0.772            0.998
              19          0.0889           0.0899             6.04         -0.00846             6.05            0.783             1.01
              20          -0.199           0.0964             6.02         -0.00554             6.01            0.792            0.997
              21          0.0306           0.0892             6.05         -0.00382             5.99            0.803            0.993
              22          0.0847           0.0933                6         -0.00399             5.98             0.79            0.988
              23           0.114            0.105             5.98        -0.000113             5.93            0.779            0.974
              24           0.121            0.125             5.96         -0.00129             6.04            0.745             1.01
