             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          -0.457            0.014             6.43           0.0596             6.32            0.712              1.1
               1           0.186          0.00199             6.51           0.0384             6.45            0.704             1.14
               2           0.206         0.000799              6.5           0.0345              6.5            0.727             1.16
               3           0.239          0.00014              6.5            0.028             6.47            0.672             1.15
               4           0.235         0.000113              6.5           0.0383              6.5            0.684             1.16
               5           0.232         0.000113              6.5           0.0389             6.47            0.703             1.15
               6           0.234         0.000113              6.5           0.0342             6.43            0.709             1.14
               7           0.238         0.000114              6.5           0.0341             6.46            0.697             1.15
               8           0.234         0.000113              6.5            0.036             6.47            0.692             1.15
               9           0.227         0.000113              6.5           0.0369             6.47            0.688             1.15
              10            0.23         0.000113              6.5            0.038             6.46            0.692             1.15
              11           0.229         0.000113              6.5           0.0426             6.45            0.678             1.14
              12            0.23         0.000114              6.5           0.0358             6.48            0.695             1.15
              13           0.226         0.000113              6.5           0.0387             6.46            0.694             1.15
              14           0.228         0.000113              6.5           0.0371             6.48             0.74             1.15
              15           0.228         0.000113              6.5           0.0373             6.49            0.709             1.15
              16           0.224         0.000114              6.5           0.0412             6.48            0.674             1.15
              17           0.225         0.000113              6.5           0.0395             6.48              0.7             1.15
              18           0.223         0.000114              6.5            0.043             6.45            0.714             1.14
              19           0.227         0.000113              6.5           0.0424             6.46            0.724             1.15
              20           0.223         0.000113              6.5           0.0378             6.46            0.668             1.15
              21           0.226         0.000113              6.5           0.0374             6.46            0.717             1.15
              22           0.222         0.000113              6.5           0.0402             6.47            0.732             1.15
              23           0.227         0.000113             6.51           0.0359              6.5            0.719             1.16
              24           0.227         0.000113              6.5            0.041             6.46            0.677             1.15
              25           0.219         0.000114              6.5           0.0407             6.46            0.739             1.14
              26            0.22         0.000114              6.5           0.0417             6.46            0.698             1.15
              27            0.22         0.000113              6.5           0.0436             6.47            0.701             1.15
              28           0.222         0.000113              6.5           0.0387             6.44            0.677             1.14
              29           0.221         0.000113              6.5           0.0413             6.48            0.689             1.15
              30           0.228         0.000113              6.5           0.0388             6.45            0.707             1.14
              31           0.218         0.000113              6.5           0.0431             6.45            0.694             1.14
              32           0.222         0.000113              6.5           0.0384             6.47            0.688             1.15
              33           0.226         0.000114              6.5           0.0394             6.51            0.677             1.16
              34           0.227         0.000114              6.5           0.0394             6.47            0.703             1.15
              35           0.221         0.000113              6.5           0.0384             6.48            0.676             1.15
              36           0.225         0.000113              6.5           0.0415             6.47            0.657             1.15
              37           0.222         0.000114              6.5           0.0392             6.47            0.726             1.15
              38           0.222         0.000113              6.5           0.0423             6.49             0.68             1.16
              39           0.218         0.000113              6.5            0.043             6.48             0.69             1.15
              40            0.22         0.000113              6.5           0.0421             6.47            0.689             1.15
              41           0.221         0.000113              6.5           0.0416             6.46            0.686             1.14
              42           0.223         0.000113              6.5           0.0421             6.44            0.683             1.14
              43           0.223         0.000113              6.5           0.0399             6.43             0.69             1.14
              44           0.219         0.000113              6.5           0.0428             6.46            0.689             1.15
              45           0.222         0.000114              6.5           0.0414             6.45            0.658             1.14
              46           0.217         0.000114              6.5           0.0467             6.47            0.699             1.15
              47           0.222         0.000113              6.5           0.0393             6.47            0.685             1.15
              48           0.219         0.000113              6.5           0.0384             6.45             0.66             1.14
              49           0.219         0.000113              6.5           0.0457             6.46            0.679             1.15
              50           0.218         0.000113              6.5           0.0431             6.48            0.741             1.15
              51           0.219         0.000113              6.5           0.0397             6.48            0.693             1.15
              52           0.217         0.000113              6.5           0.0419             6.49            0.695             1.16
              53           0.217         0.000113              6.5           0.0431             6.44            0.704             1.14
              54           0.221         0.000113              6.5           0.0416             6.45             0.66             1.14
              55           0.219         0.000113             6.51           0.0433             6.47            0.685             1.15
              56           0.219         0.000113              6.5           0.0389             6.49            0.697             1.16
              57           0.217         0.000113              6.5           0.0398             6.46             0.66             1.15
              58           0.224         0.000113              6.5           0.0379             6.44             0.69             1.14
              59           0.224         0.000113              6.5           0.0348             6.45             0.69             1.14
              60           0.221         0.000113              6.5           0.0392             6.48            0.711             1.15
              61           0.218         0.000113              6.5           0.0411             6.45            0.672             1.14
              62           0.216         0.000113              6.5           0.0421              6.5            0.699             1.16
              63           0.219         0.000113              6.5           0.0409             6.46            0.675             1.15
              64           0.219         0.000114             6.51           0.0465             6.48            0.681             1.15
              65           0.222         0.000113              6.5           0.0384             6.47            0.693             1.15
              66           0.218         0.000113              6.5           0.0438             6.47            0.709             1.15
              67            0.22         0.000113              6.5           0.0428             6.46            0.697             1.14
              68           0.218         0.000113              6.5            0.037             6.44            0.694             1.14
              69           0.224         0.000113              6.5           0.0418             6.44            0.682             1.14
              70           0.222         0.000113              6.5           0.0436             6.48            0.698             1.15
              71           0.222         0.000113              6.5           0.0402             6.47            0.714             1.15
              72           0.221         0.000113              6.5           0.0409             6.49             0.69             1.15
              73           0.218         0.000113              6.5           0.0385             6.49            0.685             1.16
              74           0.219         0.000113              6.5           0.0424             6.47            0.705             1.15
              75           0.216         0.000113              6.5           0.0433             6.46            0.678             1.15
              76           0.219         0.000113              6.5           0.0403             6.46            0.729             1.15
              77           0.218         0.000113              6.5           0.0419             6.48            0.703             1.15
              78           0.213         0.000113              6.5            0.047             6.47            0.701             1.15
              79           0.215         0.000113              6.5           0.0445             6.46            0.712             1.14
              80           0.217         0.000113              6.5           0.0434             6.47            0.691             1.15
              81           0.221         0.000113              6.5           0.0404             6.43            0.683             1.13
              82           0.221         0.000113              6.5           0.0389             6.47            0.713             1.15
              83           0.219         0.000113              6.5           0.0388             6.43            0.691             1.14
              84           0.218         0.000113              6.5           0.0426             6.48            0.707             1.15
              85           0.221         0.000113              6.5           0.0415             6.48             0.72             1.15
              86            0.22         0.000113              6.5           0.0382             6.43            0.719             1.14
              87           0.215         0.000113              6.5           0.0423             6.45            0.701             1.14
              88           0.218         0.000113              6.5           0.0431             6.47              0.7             1.15
              89           0.216         0.000114              6.5           0.0416             6.46            0.682             1.15
              90           0.218         0.000113              6.5           0.0414             6.49            0.674             1.16
              91           0.223         0.000114              6.5           0.0419             6.48            0.709             1.15
              92           0.221         0.000113              6.5           0.0429             6.46            0.688             1.15
              93           0.221         0.000113              6.5           0.0376             6.48            0.704             1.15
              94           0.217         0.000114              6.5           0.0411             6.48            0.725             1.15
              95           0.221         0.000113              6.5           0.0369             6.45            0.731             1.14
              96           0.215         0.000113              6.5           0.0418             6.46            0.703             1.14
              97            0.22         0.000113              6.5           0.0418             6.45            0.692             1.14
              98           0.223         0.000113              6.5           0.0388             6.47            0.716             1.15
              99           0.221         0.000113              6.5           0.0382              6.5            0.673             1.16
