             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.131           0.0151             5.98           0.0197             5.72            0.328            0.907
               1           0.076          0.00383             6.02         -0.00078             6.08            0.476             1.02
               2          0.0307          0.00587                6         -0.00277             5.84            0.427            0.945
               3          0.0245          0.00203                6         -0.00401             5.95            0.445             0.98
               4          0.0467           0.0015             6.03        -0.000732             6.01            0.472                1
               5          0.0232         0.000713             6.02         -0.00333             5.92            0.505            0.976
               6          0.0443          0.00146             6.03         -0.00391             5.84            0.382            0.948
               7          0.0582          0.00108             6.06         -0.00292             5.75            0.435            0.923
               8        0.000956         0.000371             6.06         -0.00403             5.64            0.448            0.887
               9          0.0175         0.000379             6.05         -0.00457             5.48            0.323            0.833
              10          0.0282         0.000948             6.01         -0.00274             5.87            0.423            0.956
              11          0.0353          0.00164             5.99         -0.00346             5.45            0.519            0.816
              12          0.0422          0.00396             5.98         -0.00327             5.62            0.398            0.878
              13          0.0271         0.000637             6.03         -0.00424             5.11            0.166            0.709
              14          0.0451          0.00133             5.99         -0.00416             5.43            0.407            0.812
