             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0       -0.000888         1.65e-10             29.1            0.103             31.7             2.45             3.47
               1          -0.118         3.73e-12             31.9           0.0391             32.7             2.22             3.62
               2          -0.062         1.11e-14             32.6           0.0233               33              2.2             3.66
               3         -0.0422         1.46e-17               33           0.0152               33             1.96             3.66
               4         -0.0516          1.7e-16               33           0.0182             32.9             2.13             3.64
               5         -0.0448         8.67e-10             29.5           0.0112             25.2             2.47             2.55
               6         -0.0343         1.53e-08               31           0.0143             24.7             2.18             2.48
               7          -0.023         3.83e-08             26.9           0.0231             32.4             2.31             3.57
               8        -0.00521          5.3e-08             25.5           0.0209             26.1             2.62             2.69
               9         -0.0167          7.9e-08             26.5           0.0243             24.8             2.12              2.5
              10          -0.004         1.48e-07             25.5           0.0136             27.2             2.59             2.83
              11        0.000413         1.13e-07             24.2           0.0178             26.6              2.4             2.76
              12         -0.0103         4.74e-08             24.7           0.0106             24.4             2.14             2.44
              13         -0.0148         8.76e-08             24.5           0.0153             27.9             2.57             2.94
              14          -0.016         4.41e-08             25.7           0.0213             25.1             2.45             2.55
