             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0             0.7           0.0197            -31.6           -0.323            -20.6             3.02            0.308
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            3.11           0.0673            -44.6           -0.439            -15.6             2.66         -0.00152
               1            2.86           0.0621            -43.9           -0.355            -15.8             2.29          0.00807
               2            3.15           0.0687            -43.8           -0.348            -15.7             2.32          0.00563
               3            3.19           0.0623            -43.8           -0.329            -15.6             2.57          0.00146
               4            3.16           0.0628            -44.5           -0.367            -15.6             2.76         -0.00735
               5            2.91           0.0676            -43.8           -0.351            -15.6             2.51          -0.0122
               6            2.97           0.0675            -43.9           -0.328            -15.4             3.02          -0.0181
               7            3.11             0.07              -44            -0.32            -15.5             2.88          -0.0068
               8            3.18           0.0684            -44.4           -0.324            -15.6             2.42          -0.0139
               9            3.18           0.0693            -45.2           -0.508            -15.6             2.47         -0.00728
              10            2.75            0.068            -44.2           -0.176            -15.7             2.66         -0.00168
              11            3.11           0.0622            -43.5           -0.324            -15.5             3.03          -0.0138
              12            3.05           0.0659            -44.1            -0.45            -15.8             2.61          0.00811
              13            3.03           0.0694            -44.2           -0.236            -15.4             2.64          -0.0178
              14            3.19           0.0718            -44.5           -0.436            -15.7             2.77         -0.00686
              15            2.95           0.0685            -43.7           -0.251            -15.6             2.62         -0.00657
              16            3.07             0.07            -43.7           -0.342            -15.7             2.79           0.0038
              17            3.31           0.0705            -44.2           -0.321            -15.7             2.19          0.00178
              18            3.22           0.0592            -44.7           -0.367            -15.2             3.19          -0.0354
              19            3.26           0.0687            -44.2           -0.486            -15.6             2.57         -0.00429
