             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.792            0.998            -24.8           0.0772            -45.7             9.44            0.105
               1           0.712            0.998            -25.2           0.0788            -42.5             6.11           0.0357
               2           0.721            0.998            -25.2           0.0386            -43.9             6.35           0.0711
               3           0.781            0.998            -25.6           0.0372            -39.1             5.32           -0.048
               4           0.798            0.997            -25.7           0.0284            -37.8             5.01          -0.0797
               5           0.733            0.997            -26.1           0.0498            -41.1             5.92         -0.00114
               6           0.795            0.997            -25.2           0.0378            -38.9              5.3          -0.0545
               7           0.751            0.998            -25.2           0.0818            -40.4              5.6          -0.0165
               8           0.759            0.998            -25.2           0.0711              -44             6.41           0.0721
               9           0.829            0.999            -24.8           0.0725              -44             6.51            0.072
              10           0.734            0.998            -26.1           0.0584            -34.5             4.19           -0.158
              11            0.77            0.998            -24.8           0.0529            -40.7             5.84         -0.00944
              12            0.78            0.998            -25.6           0.0176            -42.2                6           0.0273
              13            0.78            0.998            -24.8           0.0577            -44.4             6.56           0.0811
              14           0.773            0.997            -26.1           0.0602            -41.7             5.93           0.0153
              15           0.764            0.998            -25.2           0.0507            -40.7             5.66         -0.00827
              16           0.738            0.998            -25.7            0.084            -41.1             5.77         -0.00081
              17           0.759            0.997            -25.6           0.0441            -39.9             5.44          -0.0292
              18            0.73            0.997            -25.7           0.0246            -43.4             6.26           0.0574
              19           0.753            0.998            -25.2           0.0535            -40.2             5.69          -0.0212
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
