             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0         -0.0369           0.0574             6.64           0.0431             6.54            0.972              1.2
               1           -1.12           0.0489             6.72           0.0662             6.57            0.914             1.21
               2         0.00506           0.0338             6.77           0.0503              6.8            0.932             1.28
               3          0.0184           0.0268             6.71           0.0619             6.52            0.942             1.19
               4          0.0406           0.0255             6.66           0.0137             6.81             1.02             1.29
               5          0.0811           0.0445             6.77           0.0304             6.57            0.961             1.21
               6          0.0983           0.0129             6.76          0.00633              6.6            0.851             1.22
               7           0.141            0.117             7.11           0.0923             6.65            0.917             1.23
               8          0.0765           0.0142             6.73           0.0518             6.71            0.885             1.25
               9           0.055             0.01             6.71           0.0766             6.71             0.91             1.25
              10          0.0542           0.0109             6.77           0.0022             6.56            0.852              1.2
              11          0.0221           0.0107             6.85           0.0481             6.67            0.901             1.24
              12          0.0283           0.0227             6.81           0.0515             6.82            0.992             1.29
              13          -0.002           0.0154             6.77            0.075             6.52            0.883             1.19
              14          0.0569           0.0309             6.88           0.0191             7.03            0.845             1.36
              15          0.0762           0.0147             6.73           0.0267             6.63            0.949             1.23
              16          0.0715           0.0295             7.11           0.0159             6.37            0.808             1.14
              17            0.21             0.07             6.89          -0.0234             6.81                1             1.28
              18           0.009           0.0193             7.03           0.0427             6.69             1.34             1.23
              19        -0.00718           0.0111             7.18          0.00594             6.57             1.04              1.2
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0221           0.0509             6.74           0.0326             6.42            0.881             1.16
               1          0.0319           0.0371             6.71           0.0566             6.67            0.902             1.24
               2         -0.0195           0.0473             6.69           0.0887             6.52            0.938             1.19
               3          0.0764           0.0285             6.74           0.0301             6.76             1.01             1.27
               4          0.0758           0.0618             6.89           0.0594             6.69             1.34             1.25
               5          0.0685           0.0426             6.58           0.0468             7.05             1.55             1.38
