             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.173           0.0526             6.89           0.0336             6.64            0.836             1.23
               1           0.135            0.018             6.74           0.0638             6.73             1.04             1.26
               2           0.122            0.017             6.74           0.0346             6.65             1.01             1.23
               3          0.0927            0.019             6.72           0.0832             7.08             1.28             1.37
               4          0.0742           0.0242             6.76           0.0584             6.59            0.917             1.21
               5           0.102          0.00741             6.68            0.076             8.53             1.11             1.88
               6           0.114           0.0158             6.75           0.0571             6.82            0.824             1.29
               7          0.0461           0.0067             6.77            0.074             8.37             1.29             1.81
               8           0.134           0.0342             6.84           0.0364             6.57            0.862             1.21
               9            0.21           0.0154             6.65           0.0657             6.73            0.902             1.26
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.25            0.046             6.84           0.0156             6.62            0.877             1.23
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0142           0.0431             6.71           0.0584             6.91             1.02             1.32
               1          -0.059           0.0427              6.7           0.0511             6.73             0.94             1.26
               2         -0.0106           0.0423             6.69           0.0324              6.7             1.03             1.25
               3         -0.0119            0.038             6.67           0.0464             6.76                1             1.27
               4           0.111           0.0699             6.96            0.113             6.75            0.934             1.27
               5          0.0185            0.018             6.89         -0.00115             7.48            0.922             1.52
               6          0.0831           0.0199             6.77           0.0238                7             1.39             1.35
               7          0.0357           0.0109                7           0.0618              6.5            0.954             1.19
               8          0.0881           0.0177             6.46           0.0363             6.45             1.05             1.16
               9          0.0353           0.0228             6.51           0.0332             6.69             1.01             1.25
              10           0.021          0.00961             6.81            0.028             7.11            0.952             1.39
              11          0.0332           0.0222             6.58         -0.00443             6.58             1.22             1.21
              12         0.00722           0.0337             6.46           0.0196             6.43            0.913             1.16
              13          0.0334           0.0255             6.49           0.0409             6.61              0.9             1.22
              14          0.0112           0.0256             6.49           0.0436             6.51            0.957             1.19
              15          0.0448           0.0302             6.41        -4.62e-05             6.72             1.07             1.26
              16         -0.0068           0.0248             6.57           0.0122             6.52            0.946             1.19
              17         -0.0102           0.0381              6.4           0.0401             6.55             1.08              1.2
              18        -0.00253           0.0415             6.45            0.035             7.46             1.69             1.51
              19          0.0219            0.035             6.45           0.0165             6.42            0.907             1.16
