             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0258           0.0067             6.16          0.00533              6.1            0.714             1.03
               1         0.00813          0.00781             6.16           0.0331             6.16            0.699             1.05
               2           -1.63          0.00842             6.18           0.0158             6.17             0.67             1.05
               3          -0.028          0.00764             6.17           0.0184                6            0.669            0.994
               4          0.0364           0.0137             6.17            0.021              6.1            0.675             1.03
               5         -0.0996          0.00952             6.18           0.0283             6.08            0.654             1.02
               6          -0.149            0.012             6.16           0.0135             6.04            0.682             1.01
               7         0.00953           0.0179             6.12           0.0197             6.06            0.727             1.01
               8         -0.0728           0.0147             6.11           0.0242              6.1            0.719             1.02
               9         -0.0568          0.00781             6.14            0.029             6.03            0.745                1
              10         0.00888           0.0186             6.13           0.0246              6.2            0.648             1.06
              11          0.0644           0.0168              6.1           0.0109             5.96            0.678             0.98
              12          0.0374           0.0112             6.12           0.0242             6.16            0.584             1.05
              13          0.0358           0.0107             6.17        -0.000185             6.17            0.654             1.05
              14          0.0188          0.00887             6.21           0.0162             6.41            0.671             1.13
              15          0.0747          0.00656             6.18          0.00506              6.2            0.655             1.06
              16           0.071          0.00366             6.25           0.0101              6.2            0.606             1.06
              17          0.0951          0.00408             6.19           0.0131             6.03            0.692                1
              18           0.105          0.00502             6.23          0.00622             6.11            0.683             1.03
              19          0.0835          0.00359             6.17           0.0251             6.04            0.638             1.01
