             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -68.7           0.0401             6.46           0.0529              6.2            0.816             1.06
               1         -0.0392           0.0411             6.43           0.0381             6.63             1.07             1.21
               2         -0.0071           0.0449              6.4           0.0601             6.28            0.848             1.09
               3          -0.822           0.0432             6.41           0.0611             6.32            0.956              1.1
               4          -0.155           0.0442             6.64           0.0511             6.37            0.862             1.11
               5         -0.0594            0.048             6.48           0.0527             6.37            0.849             1.12
               6          0.0213           0.0508             6.44           0.0565             6.39             0.93             1.12
               7          -0.189           0.0442             6.41           0.0874             6.16             0.85             1.05
               8          -0.156           0.0457             6.45           0.0811             6.48            0.861             1.15
               9          -0.547           0.0341             6.43             0.09             7.71             1.29             1.56
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          -0.115          0.00227             5.59          -0.0157              5.4            0.693            0.792
               1          0.0288           0.0018             5.46        -0.000921             5.33            0.649            0.772
               2          0.0286          0.00168             5.47          0.00172             5.47             0.66            0.814
               3         -0.0236           0.0025             5.47          0.00105             5.35            0.662            0.777
               4        -0.00135          0.00225             5.41         -0.00242             4.94            0.747            0.641
               5          0.0973          0.00102             5.38          -0.0189             5.65            0.637            0.876
               6          0.0344         0.000752             5.33         -0.00791             5.23            0.595             0.74
               7          -0.842          0.00133             5.41         -0.00636             5.93            0.667            0.973
               8          0.0225           0.0014             5.22          -0.0123             4.87            0.633            0.619
               9          0.0243         0.000461             4.96        -0.000767              4.8            0.692              0.6
              10          0.0352         0.000289             4.72          -0.0126             5.04            0.578            0.684
              11          0.0142         0.000325             4.72        -0.000361             5.21            0.605            0.733
              12          0.0586         0.000683              4.9          0.00874             4.94            0.606            0.644
              13          0.0285         0.000234             4.73         -0.00947             4.86            0.622            0.615
              14          0.0482         0.000872             4.98          0.00451             4.96            0.662            0.651
              15          0.0457         0.000561             4.91         -0.00808             5.27            0.566            0.758
              16          0.0543           0.0005             4.82         -0.00763             4.64            0.565            0.544
              17          0.0714         0.000444              4.8          -0.0154             4.68            0.624            0.557
              18          0.0235         0.000275             4.63         -0.00904             4.78            0.681            0.588
              19          0.0238         0.000266             4.66          -0.0133             4.67             0.64            0.555
