             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.23           0.0316             7.19           0.0283             5.87             1.04             1.29
               1           0.181          0.00972             6.37           0.0549             7.98             5.47             2.09
               2          0.0694           0.0111             6.47           0.0661             7.02             1.47             1.75
               3           0.155          0.00956             6.48            0.107             6.62             1.99             1.59
               4           0.037           0.0165             6.77           0.0385             8.91             3.75             2.46
               5           0.254          0.00795             6.29          -0.0032             6.05             1.16             1.37
               6          0.0663          0.00824              6.8            0.104             5.87             1.24              1.3
               7          0.0458           0.0253             7.12           0.0489             7.74             2.55             2.03
               8            0.11          0.00431             6.48           0.0105             5.76             1.23             1.25
               9           0.105          0.00593             6.42           0.0627             5.89             1.35             1.31
              10            0.17           0.0167             6.33           0.0772             6.15              1.5              1.4
              11           0.193           0.0103             6.45            0.117             5.59             1.27             1.19
              12          0.0281           0.0153             7.58           0.0272             6.61             1.57             1.58
              13          0.0646          0.00647             6.89           0.0318             6.48             1.47             1.54
              14           0.116           0.0178             7.26           0.0556             6.62             1.44              1.6
              15          0.0756          0.00357             6.77          0.00899             8.75             2.01             2.41
              16           0.175           0.0087             6.11           0.0752             5.82             1.33             1.28
              17          0.0436           0.0118             5.94           0.0856             6.24             1.47             1.43
              18           0.186          0.00182             6.23           0.0286             6.02             1.12             1.35
              19           0.201          0.00635              6.1           0.0177             5.95             1.02             1.33
              20           0.173           0.0506             8.07           0.0597             6.73             1.35             1.63
              21           0.215          0.00303             6.43            0.137              6.1             1.22             1.38
              22           0.121          0.00566             6.04        -0.000911             6.04             1.18             1.36
              23          0.0456          0.00217             6.09          0.00631             5.96             1.42             1.33
              24          0.0583            0.027             6.96           0.0568             5.66             1.11             1.22
              25           0.175           0.0262             6.43            0.127             6.07             1.14             1.37
              26          0.0988          0.00307             5.94             0.04              5.9             1.06              1.3
              27          0.0123           0.0014              5.8           0.0774             5.79             1.17             1.26
              28          0.0677          0.00725             6.03           0.0201             5.78              1.2             1.26
              29           0.112           0.0286             6.34           0.0934             5.43             1.03             1.13
