             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.193           0.0299             6.89          0.00607             6.53              1.1             1.17
               1           0.127           0.0118             6.61            0.031             6.61            0.928              1.2
               2          0.0688           0.0209              6.8           0.0274             7.07             1.18             1.35
               3           0.104           0.0138             6.71           0.0401              6.5            0.915             1.16
               4          -0.174           0.0121             6.58           0.0666              6.8            0.972             1.26
               5           0.161          0.00906             6.66           0.0401              7.2             1.97             1.37
               6           0.126           0.0187             6.96           0.0404             6.44             1.01             1.14
               7           0.125           0.0103             6.84          0.00101             6.31            0.836              1.1
               8         -0.0923           0.0096             6.67          0.00269                7             1.01             1.33
               9          0.0458          0.00941             6.66           0.0799             7.01             1.03             1.33
              10          0.0212           0.0127             6.83           0.0708             6.37            0.877             1.12
              11          0.0354           0.0119             6.59            0.039             6.47              0.8             1.15
              12          0.0716            0.014             6.79           0.0271             6.58            0.926             1.18
              13          0.0603          0.00766             6.45           0.0914             6.29            0.768             1.09
              14           0.068            0.012              6.7           0.0409             6.24             0.85             1.07
              15         -0.0463            0.014              6.6            0.076             6.44            0.923             1.14
              16           0.047          0.00922             6.58           0.0355             6.36            0.895             1.11
              17          0.0262          0.00762             6.67           0.0333             6.48             0.86             1.16
              18          0.0454           0.0046             6.43           0.0247              6.4            0.889             1.13
              19          0.0598          0.00618             6.59           0.0317             6.31             0.85             1.09
              20          0.0251          0.00801             6.75           0.0197             6.67            0.853             1.21
              21          0.0745           0.0043             6.53           0.0246             6.39             0.69             1.12
              22          0.0716           0.0013             6.54           0.0264             6.48            0.733             1.15
              23          0.0294          0.00352             6.37           0.0325             6.18            0.849             1.05
              24          0.0676            0.002             6.41           0.0298             6.34            0.797             1.11
              25          0.0667          0.00102             6.38           0.0803             6.23            0.762             1.07
              26          0.0723          0.00359             6.33           0.0441             6.41            0.755             1.13
              27          0.0557          0.00339             6.41           0.0294             6.59             1.09             1.19
              28          0.0718          0.00748             6.35           0.0453              6.3            0.719              1.1
              29          0.0605          0.00104             6.38           0.0426             6.35            0.725             1.11
