             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.234           0.0246             6.86           0.0195             6.48            0.926             1.15
               1           0.135          0.00946             6.52           0.0249             6.32            0.848              1.1
               2          0.0333          0.00767             6.62           0.0378             7.06             1.15             1.34
               3          0.0668           0.0103             6.65           0.0478             6.54            0.999             1.17
               4          -0.025          0.00757             6.41           0.0536             6.35            0.813             1.11
               5         0.00479          0.00548             6.46           0.0359             6.55            0.946             1.18
               6           0.103          0.00239             6.38           0.0118             6.29            0.832             1.09
               7          0.0596          0.00497             6.41           0.0318             6.43            0.945             1.14
               8          0.0253          0.00441             6.49           0.0153             6.56            0.777             1.18
               9         0.00103          0.00313             6.51           0.0327             6.57            0.786             1.18
              10         -0.0239         0.000822             6.56           0.0396             6.46            0.748             1.15
              11         -0.0204          0.00519             6.48           0.0298             6.32            0.804              1.1
              12          -0.014         0.000361             6.46          0.00697             6.45            0.807             1.14
              13         -0.0149          0.00167             6.41           0.0321             6.22            0.848             1.07
              14         -0.0364          0.00525             6.36           0.0501              6.4            0.776             1.13
              15          0.0131         0.000342             6.35           0.0245             6.32            0.756              1.1
              16        -0.00497         0.000334             6.35            0.011             6.36            0.799             1.11
              17         -0.0114         0.000658             6.38          0.00532             6.48            0.815             1.15
              18         -0.0423         0.000342             6.35           0.0181             6.42            0.772             1.13
              19         -0.0335         0.000226             6.38          0.00696             6.38            0.795             1.12
              20          -0.059         0.000278             6.37            0.021             6.53            0.793             1.17
              21         -0.0908         0.000238             6.41           0.0345             6.42             0.78             1.13
              22         -0.0371         0.000447             6.33           0.0169             6.27             0.78             1.08
              23         -0.0565         0.000232             6.37         -0.00282             6.42            0.831             1.13
              24         -0.0824         0.000482             6.33           0.0277             6.42            0.735             1.13
              25         -0.0853         0.000163             6.38           0.0211             6.27            0.823             1.08
              26         -0.0765         0.000589             6.28           0.0368             6.47            0.782             1.15
              27         -0.0828         0.000292             6.34           0.0143             6.48            0.779             1.15
              28         -0.0767         0.000281             6.29           0.0257             6.37            0.793             1.12
              29         -0.0533         0.000337             6.23          0.00327             6.39            0.765             1.12
              30         -0.0863          0.00127             6.19           0.0303             6.34            0.849             1.11
              31         -0.0727         0.000191             6.27          0.00239             6.45            0.767             1.14
              32          -0.078         0.000281             6.21          -0.0025             6.36            0.726             1.11
              33         -0.0951         0.000228             6.21           0.0322             6.45            0.763             1.14
              34         -0.0747         0.000353             6.14           0.0123             6.38            0.827             1.12
