             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.166           0.0641             10.9          0.00302               11             1.29             1.08
               1          0.0892            0.035               11           0.0274             10.6             1.16             1.02
               2         -0.0212            0.032             10.9           0.0452             10.8             1.29             1.05
               3         -0.0022           0.0418             10.9           0.0493             10.6             1.32                1
               4            0.11           0.0416             10.9           0.0356             10.9             1.16             1.08
               5           0.102            0.023             10.8           0.0655             10.6              1.2             1.01
               6           0.095           0.0325             10.9           0.0345             11.2             1.15             1.14
               7           0.116            0.109               11           0.0291             10.6             1.19                1
               8           0.119           0.0262             10.8           0.0192             10.6             1.21             1.01
               9          0.0972           0.0301             10.7           0.0439             10.4             1.28            0.983
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.158           0.0499               11           0.0217             10.7             1.34             1.02
               1           0.089           0.0382             10.8            0.023             10.7             1.23             1.04
               2          -0.727           0.0438             10.8           0.0489             10.5             1.25            0.992
               3          0.0623           0.0465             10.9           0.0343             10.5             1.21                1
               4          -0.299           0.0521             10.8           0.0184             10.9             1.12             1.07
               5        -0.00573            0.048             10.8          0.00994             10.5              1.2            0.992
               6           0.104            0.048             10.9            0.021             10.7             1.25             1.04
               7          0.0789           0.0434             10.8           0.0459             11.6             1.61             1.19
               8          0.0885           0.0369             10.8           0.0344             10.9             1.37             1.08
               9          0.0725           0.0765             10.8           0.0136             10.3             1.18            0.964
