             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          -0.786           0.0169             11.3         0.000461             11.3             1.27             1.14
               1           -1.09         0.000429             11.6            0.018             11.6             1.21              1.2
               2           -1.17          0.00018             11.6          0.00436             11.5             1.07             1.19
               3           -1.16         0.000287             11.6         -0.00888             11.7             0.97             1.22
               4           -1.17         0.000231             11.6          0.00342             11.3            0.945             1.14
               5           -1.23         0.000173             11.5           0.0547             11.4             1.12             1.16
               6           -1.21         0.000318             11.5           0.0259             11.3             1.02             1.14
               7            -1.2         0.000149             11.4          0.00747             11.5            0.942             1.18
               8           -1.19         0.000191             11.4           0.0079             11.3             1.01             1.16
               9            -1.2         0.000187             11.4           0.0101             11.5            0.905             1.18
              10           -1.18         0.000314             11.3         -0.00117             10.9            0.971             1.08
              11           -1.19         0.000424             11.3           0.0055             11.5            0.982             1.18
              12           -1.21         0.000247             11.3          0.00556             11.3            0.855             1.15
              13           -1.22         0.000312             11.3          0.00712             11.4            0.853             1.17
              14           -1.19         0.000385             11.2         -0.00314             11.4            0.959             1.16
              15            -1.2         0.000313             11.2         -0.00295             11.1            0.921             1.11
              16           -1.22         0.000385             11.2         -1.8e-06             11.2            0.832             1.14
              17           -1.25         0.000353             11.3           0.0203             11.4            0.879             1.17
              18           -1.25         0.000247             11.3           0.0159             11.4            0.932             1.16
              19           -1.25         0.000309             11.3          0.00117             11.4            0.915             1.16
              20           -1.25         0.000301             11.3           0.0393             11.6            0.884             1.21
              21           -1.26         0.000296             11.3          0.00965             11.5            0.924             1.18
              22           -1.27         0.000296             11.4           0.0148             11.4             0.94             1.16
              23           -1.25         0.000238             11.3         -0.00672             11.4            0.822             1.17
              24           -1.28         0.000259             11.4           0.0236             11.4            0.848             1.18
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          -0.786           0.0169             11.3         0.000461             11.3             1.27             1.14
               1           -1.09         0.000429             11.6            0.018             11.6             1.21             1.21
               2           -1.17          0.00018             11.6          0.00436             11.5             1.07             1.19
               3           -1.16         0.000287             11.6         -0.00888             11.7             0.97             1.22
               4           -1.17         0.000231             11.6          0.00342             11.3            0.945             1.14
               5           -1.23         0.000173             11.5           0.0547             11.4             1.12             1.16
               6           -1.21         0.000318             11.5           0.0259             11.3             1.02             1.14
               7            -1.2         0.000149             11.4          0.00747             11.5            0.942             1.18
               8           -1.19         0.000191             11.4           0.0079             11.3             1.01             1.16
               9            -1.2         0.000187             11.4           0.0101             11.5            0.905             1.18
              10           -1.18         0.000314             11.3         -0.00117             10.9            0.971             1.08
              11           -1.19         0.000424             11.3           0.0055             11.5            0.982             1.19
              12           -1.21         0.000247             11.3          0.00556             11.3            0.855             1.15
              13           -1.22         0.000312             11.3          0.00712             11.4            0.853             1.17
              14           -1.19         0.000385             11.2         -0.00314             11.4            0.959             1.16
              15            -1.2         0.000313             11.2         -0.00295             11.1            0.921             1.12
              16           -1.22         0.000385             11.2         -1.8e-06             11.2            0.832             1.14
              17           -1.25         0.000353             11.3           0.0203             11.4            0.879             1.17
              18           -1.25         0.000247             11.3           0.0159             11.4            0.932             1.17
              19           -1.25         0.000309             11.3          0.00117             11.4            0.915             1.17
              20           -1.25         0.000301             11.3           0.0393             11.6            0.884             1.21
              21           -1.26         0.000296             11.3          0.00965             11.5            0.924             1.19
              22           -1.27         0.000296             11.4           0.0148             11.4             0.94             1.17
              23           -1.25         0.000238             11.3         -0.00672             11.4            0.822             1.17
              24           -1.28         0.000259             11.4           0.0236             11.4            0.848             1.18
              25           -1.28         0.000291             11.4          0.00885             11.5            0.905             1.18
              26           -1.28         0.000257             11.5          0.00947             11.6             0.85             1.21
              27           -1.29         0.000279             11.5          0.00481             11.6             0.92             1.21
              28            -1.3         0.000261             11.6          0.00391             11.7            0.911             1.22
              29            -1.3         0.000305             11.7          0.00449             11.7            0.971             1.22
              30           -1.32         0.000223             11.7           0.0224             11.7            0.983             1.23
              31            -1.3         0.000372             11.7          0.00274             11.8            0.978             1.24
              32            -1.3         0.000311             11.7         -0.00901             11.7            0.876             1.22
              33           -1.31         0.000282             11.7           0.0124             11.6            0.941             1.21
              34            -1.3         0.000257             11.7         -0.00603             11.6            0.985             1.21
              35           -1.31         0.000246             11.7          0.00748             11.7            0.966             1.22
              36           -1.31         0.000259             11.8         0.000458             11.7             1.01             1.23
              37           -1.32          0.00028             11.7          0.00975             11.7             1.02             1.22
              38           -1.33         0.000306             11.7           0.0283             11.8             1.01             1.24
              39           -1.32         0.000307             11.7          0.00952             11.8            0.969             1.24
