             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0168          0.00694             6.07         -0.00372             6.12            0.655             1.03
               1         -0.0226          0.00922             6.07         -0.00144             6.18            0.668             1.05
               2          0.0587          0.00927             6.11          0.00365             6.04            0.662                1
               3          0.0255          0.00771             6.11            0.013              6.1            0.638             1.03
               4         -0.0301          0.00795             6.07           0.0112                6            0.652            0.992
               5         -0.0616           0.0062             6.06         -0.00172             6.05            0.666             1.01
               6         -0.0305          0.00682             6.03           0.0052             6.04            0.595             1.01
               7          0.0294          0.00727             6.12           0.0121             6.06            0.632             1.01
               8          0.0564           0.0114             6.05          0.00848             6.05            0.649             1.01
               9          0.0994          0.00927             6.07         -0.00057             5.94            0.675            0.972
              10           0.111           0.0117             6.07          0.00555             5.92            0.694            0.966
              11          0.0824          0.00839             6.07          0.00386             6.14            0.595             1.04
              12           0.103          0.00367             6.08         -0.00667             6.08            0.557             1.02
              13           0.104           0.0047             6.06         -0.00152             5.95            0.685            0.976
              14          0.0154           0.0111             6.08          0.00457             6.17            0.641             1.05
              15          0.0828          0.00998             6.11          0.00286             6.04            0.723                1
              16           0.108           0.0131             6.05          0.00507             5.99            0.697            0.989
              17           0.092          0.00517             6.04         0.000508             6.15              0.6             1.04
              18           0.108          0.00397             6.02          0.00432             6.02            0.734            0.997
              19          0.0314           0.0139             6.01          0.00644             5.93             0.69            0.969
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -0.42          0.00411             5.97           0.0256             5.99            0.629            0.989
               1           -0.25           0.0035              5.9           0.0208             5.63            0.624            0.869
               2          -0.102          0.00241             5.85           0.0221             5.95            0.628            0.979
               3          -0.427          0.00318             5.92           0.0442             5.85            0.561            0.943
               4          -0.232          0.00344             5.86           0.0339             5.84            0.656            0.937
               5          -0.164          0.00323             5.83           0.0262             5.74            0.645            0.907
               6          -0.296          0.00177             5.83           0.0113             5.95            0.698            0.977
               7          -0.162          0.00171             5.82           0.0178              5.7            0.621            0.894
               8          0.0631          0.00151             5.77          0.00517             5.72            0.609              0.9
               9        -0.00136          0.00135             5.77           0.0232             5.65            0.602            0.874
              10          0.0691          0.00137             5.72           0.0255             5.49            0.602            0.824
              11          0.0669         0.000828             5.66          0.00603             5.63            0.603             0.87
              12           0.122          0.00119             5.68           0.0162             5.72            0.624              0.9
              13          0.0783          0.00193             5.78          0.00851             5.78            0.626            0.919
              14         0.00838          0.00196             5.79           0.0128             5.74             0.67            0.907
              15           0.202          0.00147             5.72         -0.00772             5.56            0.555            0.849
              16           0.149          0.00114             5.78          0.00788             5.67            0.642            0.882
              17           0.109          0.00219             5.73          0.00927             5.62            0.572             0.87
              18           0.145          0.00051             5.68         0.000726              5.9            0.588            0.963
              19           0.154         0.000667             5.56          -0.0129             5.79            0.586            0.923
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -1.13          0.00757             6.17            0.045             6.21             0.66             1.06
               1          -0.185           0.0102             6.18           0.0334             6.06              0.7             1.01
               2          -0.276           0.0107             6.17           0.0389             6.11            0.701             1.03
               3          -0.149          0.00828             6.21            0.044             6.21            0.682             1.06
               4          -0.131          0.00934             6.21             0.04             6.15            0.693             1.04
               5         -0.0301          0.00685              6.2           0.0331             6.17            0.694             1.05
               6         -0.0202          0.00617             6.23           0.0373             6.19            0.667             1.05
               7         -0.0805          0.00628             6.22           0.0383             6.16            0.744             1.05
               8         -0.0284           0.0083             6.19           0.0441             6.09            0.674             1.02
               9         -0.0703          0.00844             6.17           0.0224             6.12            0.721             1.03
              10         -0.0953           0.0115             6.17           0.0276             6.14            0.761             1.04
              11          -0.116           0.0091             6.17           0.0327             6.17            0.664             1.05
              12         -0.0363          0.00885             6.19           0.0244             6.12            0.664             1.03
              13          0.0481          0.00976             6.15           0.0269             6.17            0.617             1.05
              14          0.0732          0.00815             6.16           0.0167             6.05            0.645             1.01
              15          0.0474          0.00856             6.11           0.0156             6.03            0.712                1
              16          0.0271          0.00574             6.16           0.0301             6.04            0.695                1
              17          0.0779            0.009              6.1           0.0283             6.03            0.683                1
              18          0.0245          0.00969             6.07           0.0376             6.03            0.703                1
              19          0.0585           0.0104             6.05           0.0427             6.03              0.7                1
