             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0693             0.32              6.8           0.0802                0                0                0
               1           0.133             0.39             7.14           0.0291                0                0                0
               2           0.224          3.1e-05             5.42          -0.0174                0                0                0
               3          0.0782         1.59e-16             4.61           0.0129                0                0                0
               4          0.0283         1.85e-21              4.8           0.0195                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0114            0.481             7.49           0.0416                0                0                0
               1           0.256            0.294             6.63          -0.0533                0                0                0
               2           0.155         2.53e-05             5.33           0.0201                0                0                0
               3          0.0448            0.371             7.27           0.0112                0                0                0
               4          0.0133            0.344             7.32         -0.00328                0                0                0
               5          0.0282            0.164             7.15         -0.00191                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0693             0.32              6.8           0.0802                0                0                0
               1           0.133             0.39             7.14           0.0291                0                0                0
               2           0.224          3.1e-05             5.42          -0.0174                0                0                0
               3          0.0782         1.59e-16             4.61           0.0129                0                0                0
               4          0.0283         1.85e-21              4.8           0.0195                0                0                0
               5          0.0232         9.84e-15             4.54           0.0194                0                0                0
               6          0.0372         5.66e-23             4.56          0.00796                0                0                0
               7          0.0427         1.19e-15             4.22            0.015                0                0                0
               8          0.0247         3.56e-20             4.25           0.0376                0                0                0
               9          0.0391         2.97e-15             4.21           0.0166                0                0                0
              10          0.0253         2.89e-19             4.18           0.0133                0                0                0
              11          0.0131         5.79e-21             4.49           0.0391                0                0                0
              12          0.0668         9.12e-13             4.13           0.0322                0                0                0
              13          0.0467         4.65e-12              4.1          0.00769                0                0                0
              14          0.0335         4.83e-24             4.47          0.00527                0                0                0
