             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.07         3.63e-24             8.24           0.0176                0                0                0
               1            0.03         2.91e-19             7.99           0.0182                0                0                0
               2         0.00961         1.09e-20             7.63           0.0468                0                0                0
               3         -0.0042         6.93e-22             7.72           0.0245                0                0                0
               4        -0.00762         4.89e-24             7.78           0.0281                0                0                0
               5          0.0124          1.4e-19             7.34           0.0169                0                0                0
               6        -0.00897          2.5e-23             7.39           0.0232                0                0                0
               7        -0.00234          8.5e-24             7.34          0.00614                0                0                0
               8         0.00694         7.65e-19             7.06           0.0286                0                0                0
               9        -0.00966         1.76e-18             7.34           0.0224                0                0                0
              10          -0.016          1.8e-19             7.68           0.0206                0                0                0
              11         -0.0104         1.47e-29              7.3          0.00663                0                0                0
              12         0.00047          2.1e-19             6.94           0.0117                0                0                0
              13         -0.0169         6.19e-22             6.93           0.0166                0                0                0
