             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.112         3.63e-24             8.39          -0.0117                0                0                0
               1          0.0938         1.63e-25             8.34          -0.0283                0                0                0
               2          0.0397         7.92e-22             8.43          0.00679                0                0                0
               3           0.048          3.5e-24              8.5         -0.00778                0                0                0
               4          0.0639         4.06e-24              8.4           -0.013                0                0                0
               5          0.0576         1.56e-28             8.38          -0.0107                0                0                0
               6          0.0214         5.91e-26             8.27          0.00492                0                0                0
               7        -0.00375         6.74e-28             8.23           0.0277                0                0                0
               8          0.0489         1.59e-35             8.07          0.00533                0                0                0
               9          0.0509          8.6e-31             7.93          -0.0123                0                0                0
              10          0.0322         3.78e-26             7.73          0.00951                0                0                0
              11          0.0619         2.54e-23             7.61         -0.00979                0                0                0
              12         0.00875         7.08e-09             7.62           0.0273                0                0                0
              13         0.00259         3.66e-09             7.87           0.0301                0                0                0
              14         -0.0056         4.25e-14             7.83           0.0254                0                0                0
              15          0.0101         1.94e-12             7.95           0.0136                0                0                0
