             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0               1         0.000141             99.4         -0.00889                0                0                0
               1           0.202         3.95e-31             89.6           0.0456                0                0                0
               2           0.116         6.81e-34             88.2           0.0237                0                0                0
               3          0.0762         1.47e-32             87.2           0.0267                0                0                0
               4          0.0521         6.62e-37             86.9           0.0267                0                0                0
               5          0.0548         5.48e-29             86.4           0.0245                0                0                0
               6           0.064         7.96e-30             86.2           0.0077                0                0                0
               7          0.0381         3.99e-33             84.2           0.0272                0                0                0
               8          0.0441         4.14e-31             83.9           0.0269                0                0                0
               9          0.0498         1.15e-28             81.2           0.0194                0                0                0
              10          0.0512         3.65e-29             82.7           0.0026                0                0                0
