             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.41           0.0829             95.3           0.0637                0                0                0
               1           0.166         0.000135               86             0.02                0                0                0
               2          0.0879         4.52e-27             85.4           0.0174                0                0                0
               3          0.0511         5.71e-33             85.2           0.0287                0                0                0
               4           0.048         3.28e-29             84.6           0.0216                0                0                0
               5          0.0464         1.37e-30               83          0.00685                0                0                0
               6          0.0338         5.81e-30             82.3           0.0153                0                0                0
               7          0.0284         7.21e-26             82.4           0.0161                0                0                0
               8          0.0306         2.55e-29             80.9          0.00605                0                0                0
               9          0.0395         3.64e-22             80.8          0.00532                0                0                0
              10          0.0337         2.66e-29             80.6          0.00465                0                0                0
              11          0.0142         7.03e-29               81           0.0179                0                0                0
