             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.287         1.13e-31             49.3            0.025                0                0                0
               1           0.166         6.51e-28             47.7           0.0325                0                0                0
               2          0.0967         2.53e-23             47.4           0.0403                0                0                0
               3          0.0857         7.63e-25             46.8           0.0377                0                0                0
               4          0.0758         1.08e-27             45.7           0.0438                0                0                0
               5          0.0644         2.99e-20             46.5           0.0249                0                0                0
               6          0.0601         9.08e-19             44.9           0.0421                0                0                0
               7          0.0684         1.69e-20             45.8           0.0221                0                0                0
               8          0.0683         1.73e-23             45.5           0.0254                0                0                0
               9          0.0682          1.3e-18             45.5           0.0233                0                0                0
              10          0.0383         9.31e-18             45.7           0.0293                0                0                0
              11          0.0484         4.42e-20             45.5           0.0269                0                0                0
