             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.326         0.000576               91           0.0805                0                0                0
               1           0.205         4.74e-11             87.6           0.0838                0                0                0
               2           0.158         9.55e-21             86.5           0.0571                0                0                0
               3           0.355         6.32e-21               89           0.0658                0                0                0
               4           0.201         4.27e-15             85.6           0.0741                0                0                0
               5            0.26         1.96e-15             90.8           0.0609                0                0                0
               6           0.176         1.12e-08             90.6           0.0804                0                0                0
               7           0.201         2.84e-08             89.7           0.0948                0                0                0
               8           0.198         1.32e-08             88.7            0.061                0                0                0
               9           0.155         9.82e-21             88.5           0.0629                0                0                0
              10           0.139         2.57e-16               85           0.0642                0                0                0
              11           0.101         2.56e-16             85.1           0.0443                0                0                0
              12           0.137           0.0003               86           0.0708                0                0                0
              13         -0.0248         2.56e-18             87.1           0.0556                0                0                0
              14         0.00542         1.12e-15             85.9            0.039                0                0                0
              15          0.0668            0.181             90.8           0.0587                0                0                0
              16           0.123                1              115           0.0584                0                0                0
              17           0.103                1              115          -0.0426                0                0                0
              18          0.0354                1              115          0.00284                0                0                0
              19          0.0705                1              115          -0.0364                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.19         1.15e-35             46.3          0.00429                0                0                0
               1          0.0721         1.93e-37             45.7          0.00338                0                0                0
               2           0.193         1.78e-37             45.2         -0.00712                0                0                0
               3           0.109         1.23e-35             44.9           0.0165                0                0                0
               4          0.0443         8.55e-37             45.1           0.0162                0                0                0
               5          0.0288         4.25e-36             45.4           0.0146                0                0                0
               6         0.00627         4.75e-37             45.7        -6.83e-05                0                0                0
               7          0.0381         2.38e-38             45.3          -0.0151                0                0                0
               8          0.0278         4.86e-37             45.8         0.000616                0                0                0
               9          0.0303         2.32e-37             45.3         -0.00458                0                0                0
              10         0.00416         8.11e-35             44.9           0.0033                0                0                0
              11         0.00454         2.77e-34             45.5          0.00138                0                0                0
              12          0.0151         2.89e-34             45.3         -0.00905                0                0                0
              13         -0.0109         4.88e-37             45.3          -0.0111                0                0                0
              14         -0.0179         3.92e-37               45          -0.0114                0                0                0
              15        0.000742         1.57e-37             45.5         -0.00733                0                0                0
              16         -0.0275         2.78e-36             45.4          0.00274                0                0                0
              17         -0.0117          6.4e-34             45.5          -0.0048                0                0                0
              18         -0.0164         1.48e-34             45.4         -0.00771                0                0                0
              19         -0.0224         3.11e-37             45.4         -0.00335                0                0                0
              20         -0.0147         3.12e-37             45.5          -0.0204                0                0                0
              21         -0.0599         2.57e-34             45.5           0.0202                0                0                0
              22         -0.0127         5.27e-37             45.4         -0.00849                0                0                0
              23         -0.0466         3.93e-34             45.3           0.0184                0                0                0
              24         -0.0542         6.28e-36             44.8           0.0203                0                0                0
