             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0         -0.0369         4.51e-43             8.75           0.0228                0                0                0
               1       -0.000615         8.67e-43             8.74          -0.0562                0                0                0
               2         -0.0679         3.11e-42             8.74         0.000195                0                0                0
               3          -0.118         4.67e-41             8.74           0.0514                0                0                0
               4         -0.0241         1.92e-43             8.74           0.0017                0                0                0
               5         -0.0595         1.61e-42             8.74           0.0338                0                0                0
               6         -0.0326         6.32e-43             8.74          -0.0327                0                0                0
               7          0.0215         7.25e-41             8.74          -0.0644                0                0                0
               8          -0.078         7.18e-43             8.74           0.0417                0                0                0
               9         -0.0142         5.79e-43             8.74           0.0122                0                0                0
              10         -0.0763         4.99e-43             8.75           0.0175                0                0                0
              11         -0.0462         4.76e-43             8.74          0.00169                0                0                0
              12         -0.0611         6.96e-43             8.74          -0.0177                0                0                0
              13          -0.105         1.42e-09             8.74           0.0258                0                0                0
              14          0.0018         6.32e-43             8.74          -0.0323                0                0                0
              15        -0.00152         2.35e-42             8.74          -0.0134                0                0                0
              16         -0.0566         5.02e-42             8.74             0.05                0                0                0
              17         -0.0236         6.85e-44             8.74         -0.00497                0                0                0
              18         -0.0193         1.07e-42             8.75          -0.0153                0                0                0
              19         -0.0186         1.07e-39             8.74          -0.0381                0                0                0
              20         -0.0845         2.36e-43             8.74           0.0214                0                0                0
              21         -0.0104         6.32e-43             8.74          -0.0673                0                0                0
              22          -0.068         1.21e-42             8.74         -0.00991                0                0                0
              23         -0.0899         9.59e-42             8.74           0.0561                0                0                0
              24         -0.0431         2.13e-43             8.74          -0.0223                0                0                0
              25         -0.0728         4.56e-38             8.74          0.00735                0                0                0
              26           -0.02         6.98e-43             8.74           0.0298                0                0                0
              27         -0.0584         7.18e-10             8.74          -0.0201                0                0                0
              28         -0.0971          8.1e-42             8.74           0.0241                0                0                0
              29         -0.0809         2.77e-43             8.74          0.00436                0                0                0
              30         -0.0749         2.38e-43             8.74         -0.00651                0                0                0
              31         -0.0499          2.8e-42             8.74          -0.0301                0                0                0
              32         -0.0952         2.53e-42             8.74        -7.46e-05                0                0                0
              33         -0.0505         2.21e-40             8.74           0.0118                0                0                0
              34          -0.104          1.1e-41             8.74          0.00407                0                0                0
              35         -0.0659         4.29e-42             8.74         -0.00509                0                0                0
