             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.119         6.55e-40             94.1            0.014                0                0                0
               1         0.00188         2.11e-38             93.3           0.0399                0                0                0
               2          0.0181         6.75e-36             93.1         -0.00244                0                0                0
               3         0.00446         1.96e-38             92.8           0.0147                0                0                0
               4         0.00426         7.51e-37             92.7         -0.00196                0                0                0
               5         -0.0166          6.1e-39             92.4         -0.00165                0                0                0
               6         -0.0691         6.69e-37             92.3           0.0059                0                0                0
               7         -0.0508         2.25e-37             92.2          0.00919                0                0                0
               8         -0.0283         4.31e-38               92          0.00825                0                0                0
               9          -0.054         4.51e-39             91.7         -0.00222                0                0                0
              10         -0.0915         2.41e-38             91.6            0.031                0                0                0
              11         -0.0403         1.78e-36             91.6          -0.0155                0                0                0
              12         -0.0835         6.65e-38             91.4           0.0211                0                0                0
              13         -0.0368         3.38e-38             91.4          -0.0214                0                0                0
              14         -0.0368         5.88e-38             91.2          -0.0297                0                0                0
              15          -0.054            1e-38             90.8           0.0115                0                0                0
              16         -0.0595         5.83e-38             90.9         -0.00556                0                0                0
              17         -0.0841         3.91e-38             90.9           0.0307                0                0                0
              18         -0.0541         1.58e-38             90.7          0.00942                0                0                0
              19         -0.0641         4.12e-38             90.5         -0.00234                0                0                0
              20         -0.0921         6.19e-39             90.6          0.00585                0                0                0
              21         -0.0611         8.26e-37             90.7         -0.00785                0                0                0
              22         -0.0862         4.91e-36             90.5           0.0137                0                0                0
              23         -0.0951          1.3e-38             90.4           0.0105                0                0                0
              24           -0.11         1.77e-38             90.3           0.0263                0                0                0
              25         -0.0643         9.67e-36             90.3          -0.0233                0                0                0
              26         -0.0661         1.34e-37             90.3          -0.0222                0                0                0
              27         -0.0881         2.04e-39             90.1          -0.0016                0                0                0
              28         -0.0823         3.44e-38             90.3          -0.0107                0                0                0
              29          -0.124         6.83e-39             90.2            0.028                0                0                0
              30          -0.115         1.17e-35             90.2           0.0181                0                0                0
              31          -0.095         1.52e-38               90          0.00928                0                0                0
              32         -0.0592          1.2e-37             89.8          -0.0376                0                0                0
              33         -0.0909         2.39e-38             89.9         -0.00161                0                0                0
              34         -0.0882         2.55e-37             89.8          -0.0134                0                0                0
              35          -0.108         5.46e-38             90.1         -0.00158                0                0                0
              36          -0.093         1.66e-36               90          -0.0137                0                0                0
              37         -0.0915         8.29e-38             89.8         -0.00568                0                0                0
              38          -0.113         7.93e-37             89.8           0.0137                0                0                0
              39          -0.104         1.33e-35             89.8          0.00374                0                0                0
              40         -0.0928         2.51e-36             89.8          -0.0102                0                0                0
              41         -0.0706         4.61e-37             89.8          -0.0312                0                0                0
              42          -0.104         4.52e-38             89.8         -0.00305                0                0                0
              43         -0.0943         1.22e-38             89.7        -0.000165                0                0                0
              44          -0.119         7.35e-37               90           0.0185                0                0                0
              45          -0.127            4e-37             90.1            0.022                0                0                0
              46          -0.101         1.28e-36             90.1          0.00041                0                0                0
              47            -0.1         2.51e-36               90         -0.00853                0                0                0
              48          -0.126         1.37e-37             90.2           0.0149                0                0                0
              49          -0.108         1.23e-35             90.1         0.000422                0                0                0
