             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -8.35          0.00422             12.5           0.0213             12.5             1.56             1.64
               1           -2.59          0.00124             12.5           0.0046             12.7             1.52             1.69
               2           -1.78         0.000552             12.5           0.0211             12.7             1.52             1.68
               3            -1.9         0.000499             12.4           0.0406             12.5             1.38             1.64
               4           -1.64         0.000509             12.5         -0.00836             12.6             1.56             1.66
               5           -1.79          0.00154             12.4          0.00443             12.7             1.39             1.68
               6            -1.9         0.000897             12.2          -0.0112             12.6             1.47             1.66
               7           -1.61         0.000753             12.3           0.0253             12.6             1.47             1.66
               8           -1.48         0.000657             12.3         -0.00106             12.7             1.68             1.68
               9           -1.55          0.00154             12.3           0.0168             12.9             1.58             1.73
              10           -1.68         0.000426             12.3         -0.00254             13.2             1.97             1.79
              11           -1.35          0.00101             12.3          -0.0105             12.5             1.42             1.64
              12           -1.35          0.00278             12.2           0.0128             12.8              1.5              1.7
              13           -1.65          0.00244             12.2            0.018             12.3             1.44              1.6
              14           -1.57         0.000766             12.3            0.017             12.4             1.39             1.62
              15           -1.45           0.0129             12.4            0.103             12.9             1.42             1.71
              16           -1.57         0.000789             12.3          -0.0166             12.5             1.41             1.64
              17           -2.66         0.000344             12.3          -0.0143             12.8             1.57             1.69
              18           -1.55           0.0109             12.5            0.075             13.3             2.74             1.81
              19           -1.18          0.00092             12.2           0.0153             12.6             1.41             1.66
