             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -1.97          0.00323             11.5           0.0144             11.6             1.31             1.45
               1           -1.33         0.000882             11.6          0.00838             11.6             1.05             1.46
               2           -1.55          0.00141             11.5          0.00755             11.5             1.23             1.44
               3           -1.39         0.000726             11.5           0.0153             11.7             1.02             1.49
               4           -1.39          0.00064             11.6           0.0119             11.8             1.23              1.5
               5          -0.994         0.000629             11.6         -0.00325             11.4             1.03             1.42
               6          -0.958          0.00115             11.4        -0.000162             11.4            0.959             1.42
               7           -1.02         0.000754             11.4         -0.00607             11.4             1.06             1.41
               8           -1.04         0.000848             11.5           0.0037             11.5             1.02             1.44
               9          -0.701         0.000597             11.4          0.00392             11.7             1.01             1.47
              10          -0.573         0.000515             11.3           0.0115             11.5            0.974             1.43
              11          -0.666          0.00141             11.4          0.00638             11.4            0.952             1.42
              12          -0.649         0.000965             11.3         -0.00325             11.6            0.977             1.46
              13           -0.45          0.00116             11.2          -0.0177             11.4             1.03              1.4
              14          -0.596          0.00172             11.2           -0.004             11.3            0.965             1.39
              15            -0.4         0.000962             11.2        -0.000828             11.6             1.03             1.46
              16          -0.287          0.00111             11.1          0.00173             11.1            0.903             1.35
              17          -0.777          0.00108               11          0.00607             11.4            0.973             1.41
              18          -0.496          0.00209             11.1           0.0115             11.3            0.904             1.39
              19          -0.424          0.00168             11.2         -0.00426             11.3             1.01             1.39
