             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -2.96          0.00354             11.7           0.0165             11.7             1.15             1.48
               1           -1.19          0.00109             11.6          0.00163             12.1             1.35             1.55
               2           -1.17          0.00109             11.6          -0.0106             11.9              1.3             1.53
               3           -1.67          0.00162             11.6           0.0187             11.7             1.04             1.47
               4           -1.09         0.000625             11.6          0.00753             11.6             1.12             1.45
               5          -0.862          0.00114             11.5          0.00785             11.6             1.15             1.46
               6           -1.05         0.000991             11.5        -0.000754             11.6            0.936             1.45
               7           -1.03          0.00078             11.6          -0.0155             11.8             1.21              1.5
               8          -0.736           0.0011             11.5            0.017             11.7             1.12             1.48
               9           -1.05         0.000997             11.5          0.00922             11.6             1.06             1.46
              10           -1.14          0.00117             11.5           0.0167             11.5             1.01             1.43
              11           -1.19         0.000932             11.5          0.00106             11.9             1.28             1.51
              12          -0.708         0.000763             11.5           0.0181             11.8             1.17             1.49
              13          -0.745         0.000682             11.4           0.0135             11.6             1.14             1.46
              14           -0.84         0.000794             11.5          0.00306             11.7             1.17             1.47
              15          -0.755         0.000798             11.4          -0.0223             11.6              1.1             1.46
              16           -1.13         0.000752             11.4          0.00635             11.4            0.948             1.42
              17           -0.57         0.000611             11.4         -0.00104             11.4             1.03             1.42
              18          -0.532          0.00109             11.2           0.0113             11.4             1.15             1.41
              19          -0.333         0.000857             11.2           -0.011             11.4             1.01             1.42
