             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.317            0.437             6.64           0.0742                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.242            0.284             6.32           0.0487                0                0                0
               1           0.228          0.00487             4.06          0.00257                0                0                0
               2             0.2            0.229             5.43           0.0096                0                0                0
               3           0.229            0.111             5.63          -0.0226                0                0                0
               4            0.22            0.548             7.63          -0.0206                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.317            0.437             6.64           0.0742                0                0                0
               1           0.273           0.0182              5.3          -0.0105                0                0                0
               2           0.334            0.372             6.82         -0.00312                0                0                0
               3           0.128            0.397             6.66           0.0854                0                0                0
               4           0.442            0.326             7.09            -0.13                0                0                0
               5           0.163            0.323             6.99            0.032                0                0                0
               6           0.173             0.44             7.73          -0.0261                0                0                0
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.242            0.284             6.32           0.0487                0                0                0
               1           0.228          0.00487             4.06          0.00257                0                0                0
               2             0.2            0.229             5.43           0.0096                0                0                0
               3           0.229            0.111             5.63          -0.0226                0                0                0
               4            0.22            0.548             7.63          -0.0206                0                0                0
               5           0.381           0.0498             5.93           -0.129                0                0                0
               6           0.254          0.00429             3.56          -0.0243                0                0                0
               7           0.218            0.506             7.29          0.00905                0                0                0
               8           0.135            0.366             7.05          0.00797                0                0                0
               9           0.151            0.358             7.34           0.0259                0                0                0
              10          0.0592            0.443             7.67            0.031                0                0                0
              11          0.0374             0.35             7.54            0.052                0                0                0
              12          0.0173            0.517             7.88           0.0362                0                0                0
              13          0.0712            0.393             7.41           0.0261                0                0                0
              14          0.0147            0.524             7.81           0.0343                0                0                0
