             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -5.73          0.00472             12.4           0.0347             12.8             1.58             1.71
               1           -5.95         0.000559             12.2          -0.0276             12.9             1.54             1.72
               2           -2.24          0.00072             12.4          0.00757             12.7             1.52             1.69
               3           -2.52         0.000714             12.4           0.0177             12.9             1.41             1.73
               4           -3.08          0.00142             12.5          0.00443             12.8             1.43             1.71
               5           -2.15         0.000687             12.4          0.00308               13             1.54             1.75
               6           -4.48          0.00101             12.4           0.0209               13             1.59             1.74
               7           -4.24          0.00122             12.8           0.0122             13.6             1.92             1.88
               8           -3.93         4.96e-05               14           0.0159             14.1             2.23             1.97
               9            -4.4         4.52e-05             14.2          0.00687             14.7             2.23              2.1
