             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -7.05            0.032             6.32           0.0115             6.34            0.791             1.11
               1            -2.3           0.0309             6.32             0.02             6.59            0.913             1.19
               2           -1.91           0.0299             6.33           0.0115             6.22            0.792             1.07
               3           -1.68           0.0277             6.34           0.0297             6.23            0.784             1.07
               4           -1.82           0.0161             6.35           0.0188             6.22            0.783             1.06
               5           -1.02            0.015             6.31           0.0415              6.3            0.832             1.09
               6           -2.68           0.0167             6.33           0.0277             6.28            0.807             1.09
               7           -2.47           0.0214             6.34           0.0151             6.19            0.775             1.06
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -1.74           0.0307             6.41           0.0271             6.35            0.898             1.11
               1          -0.858           0.0231             6.41           0.0274             6.33            0.815             1.11
               2          -0.938           0.0244             6.37           0.0084             6.83            0.852             1.28
               3           -0.83           0.0199             6.36           0.0181             6.18            0.771             1.05
               4          -0.676           0.0249             6.31           0.0282             6.17            0.794             1.05
               5          -0.639           0.0207             6.34        -1.48e-05             6.35            0.817             1.11
               6          -0.598           0.0211             6.34           0.0272              6.2            0.735             1.06
               7          -0.537           0.0259             6.42           0.0489              6.2            0.738             1.06
               8          -0.647            0.019             6.45           0.0298             6.12            0.747             1.03
               9           -0.43           0.0133             6.33         -0.00897             6.07            0.802             1.02
              10          -0.557           0.0252             6.42             0.11             6.29            0.807             1.09
              11           -0.24           0.0174              6.3           0.0392              6.1            0.782             1.03
              12          -0.494           0.0243              6.3           0.0432             6.18            0.834             1.05
              13          -0.307           0.0193             6.28         -0.00959             6.22            0.779             1.07
              14          -0.514           0.0153             6.27           0.0142             6.23            0.745             1.07
