             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          -0.811           0.0111             6.91          -0.0013             6.45            0.962             1.14
               1           -2.15          0.00657             6.99          0.00255             7.94            0.768             1.65
               2           -2.14          0.00644             6.99         0.000633             7.96            0.883             1.65
               3           -2.15          0.00643             6.99         0.000333             7.96            0.774             1.65
               4           -2.15          0.00642             6.99        -0.000348             7.94            0.812             1.64
               5           -2.14          0.00644             6.99        -0.000863             7.96            0.849             1.66
               6           -2.13           0.0064             6.99         -0.00219             7.96            0.824             1.65
               7           -2.12          0.00641             6.99         0.000925             7.95             0.81             1.65
               8           -2.12          0.00644             6.99         -0.00105                8            0.829             1.66
               9           -2.11          0.00642             6.99         1.35e-05             7.97            0.801             1.65
              10            -2.1          0.00641             6.99         -0.00105             7.93            0.836             1.64
              11           -2.11          0.00646                7         -0.00044             7.95            0.823             1.65
